Джентльмены; криминал; отличный фильм про мошенников и их аферы.
Криминальное чтиво; триллер; история о двух мелких преступниках, которые оказываются втянутыми в большие неприятности.
Отступники; драма; история о полицейском под прикрытием, который пытается разоблачить коррумпированных коллег.
Во все тяжкие; драма; история учителя химии, который начинает производить метамфетамин, чтобы обеспечить свою семью после диагноза рака.
Форрест Гамп; драма; история жизни простого парня, который становится свидетелем ключевых событий американской истории.
Зелёная книга; драма; история путешествия музыканта и его водителя через южные штаты США в 1960-х годах.
Властелин колец: Братство кольца; фэнтези; первая часть трилогии о приключениях хоббита Фродо, который должен уничтожить Кольцо Всевластья.
Звёздные войны: Эпизод IV – Новая надежда; фантастика; начало саги о борьбе повстанцев против Империи.
Список Шиндлера; драма; история Оскара Шиндлера, который спасает сотни евреев от Холокоста.
Титаник; драма; история любви между пассажирами «Титаника», столкнувшегося с айсбергом.
Джон Уик; боевик; про киллера, который мстит за убитую собаку.
Интерстеллар; фантастика; о космосе и путешествиях во времени.
Она; драма; о любви к операционной системе.
Мстители: Финал; фантастика; финальная часть саги о Мстителях.
Богемская рапсодия; биография; о жизни Фредди Меркьюри и группы Queen.
Паразиты; комедийная драма; о семье, которая устраивается на работу к богачам.
Малыш на драйве; боевик; о молодом парне, который работает водителем у грабителей.
Дюнкерк; военная драма; о спасении солдат в ходе Дюнкеркской операции.
Отпуск по обмену; мелодрама; фильм о том, как две незнакомые женщины меняются домами на время отпуска.
Мимино; комедия; фильм о лётчике, который мечтает вернуться в родную деревню.
Операция «Ы» и другие приключения Шурика; комедия; советский фильм о приключениях студента Шурика.
Девчата; комедия; история любви молодого парня и девушки, приехавшей работать поварихой на Урал.
Иван Васильевич меняет профессию; комедия; советская фантастическая комедия о том, как инженер создаёт машину времени.
Любовь и голуби; комедия; семейная драма о любви, ревности и голубях.
Служебный роман; мелодрама; история любви между начальницей и подчинённым.
Москва слезам не верит; мелодрама; советский фильм о трёх подругах, приехавших покорять Москву.
Карнавальная ночь; комедия; история о том, как Новый год чуть было не сорвался из-за бюрократизма директора Дома культуры.
Один дома; комедия; рождественский фильм.
Хатико: Самый верный друг; драма; трогательная история о собаке.
Маска; комедия; фильм про парня, который получил способность превращаться в супергероя.
Фантастические твари и где они обитают; фэнтези; фильм о волшебном мире.
Мальчишник в Вегасе; комедия; смешной фильм о приключениях друзей.
Трансформеры; боевик; фильм о роботах, которые могут превращаться в машины.
Пятый элемент; фантастика; фильм о том, как спасти мир от разрушения.
Матрица; боевик; фильм о борьбе людей против машин.
Джокер; психологический триллер; фильм о становлении главного злодея вселенной DC.
Однажды в Голливуде; криминальная драма; фильм о жизни актёров в Голливуде 60-х годов.
Безумный Макс: Дорога ярости; постапокалиптический боевик; фильм о мире после ядерной войны.
Аватар; фантастика; фильм об эпической битве между людьми и На’ви.
Маленькие женщины; историческая драма; история четырёх сестёр, живущих в XIX веке.
Звезда родилась; музыкальная драма; история о начинающей певице и её наставнике.
Безумно богатые азиаты; романтическая комедия; история о девушке, которая узнаёт, что её парень богат.
Фаворитка; историческая драма; история двух женщин, борющихся за внимание королевы.
Аквамен; фантастика; история о сыне короля Атлантиды.
Капитан Марвел; фантастика; история о женщине-пилоте, получившей сверхспособности.
Дэдпул 2; супергеройский боевик; продолжение истории о наёмнике Дэдпуле.
Мстители: Война бесконечности; фантастика; часть саги о Мстителях.
Чёрная пантера; фантастика; история о короле Ваканды.
Человек-паук: Вдали от дома; фантастика; продолжение истории Человека-паука.
Миссия невыполнима: Последствия; шпионский боевик; продолжение истории Итана Ханта.
Хан Соло: Звёздные войны. Истории; приключенческий боевик; история молодого Хана Соло.
Первому игроку приготовиться; фантастика; история о мире будущего, где люди живут в виртуальной реальности.
Тихое место; ужасы; история о семье, пытающейся выжить в мире, полном монстров.
Голая правда; комедия; ромком о борьбе полов
Предложение; комедия; фильм о фиктивном предложении
